name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink,planet_type,temp_discovery_date,temp_mass,planet_radius,orbital_radius,orbital_period,eccentricity
CoRoT-6 b,2144,2.96 Jupiters,13.912,2009,https://exoplanets.nasa.gov/exoplanet-catalog/1241/corot-6-b/,Gas Giant,2009,2.96 Jupiters,1.166 x Jupiter,0.0855 AU,8.9 days,< 0.1
CoRoT-7 b,524,3.1783 Earths,11.668,2009,https://exoplanets.nasa.gov/exoplanet-catalog/1242/corot-7-b/,Super Earth,2009,3.1783 Earths,1.681 x Earth,0.017016 AU,0.9 days,0
CoRoT-7 c,524,8.4 Earths,11.668,2009,https://exoplanets.nasa.gov/exoplanet-catalog/4937/corot-7-c/,Neptune-like,2009,8.4 Earths,0.253 x Jupiter,0.046 AU,3.7 days,0
CoRoT-8 b,1240,0.22 Jupiters,14.8,2010,https://exoplanets.nasa.gov/exoplanet-catalog/1243/corot-8-b/,Gas Giant,2010,0.22 Jupiters,0.57 x Jupiter,0.063 AU,6.2 days,0
CoRoT-9 b,1363,0.84 Jupiters,13.69,2009,https://exoplanets.nasa.gov/exoplanet-catalog/1244/corot-9-b/,Gas Giant,2009,0.84 Jupiters,1.066 x Jupiter,0.4021 AU,95.3 days,0.13
CoRoTID 223977153 b,1912,0.15 Jupiters,13.587,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7334/corotid-223977153-b/,Gas Giant,2017,0.15 Jupiters,0.57 x Jupiter,0.071 AU,6.7 days,0
CT Chamaleontis b,538,17 Jupiters,11.773,2007,https://exoplanets.nasa.gov/exoplanet-catalog/7015/ct-chamaleontis-b/,Gas Giant,2007,17 Jupiters,2.2 x Jupiter,440.0 AU,Infinity years,0
DE Canun Venaticorum b,100,12.0293 Jupiters,11.975,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7433/de-canun-venaticorum-b/,Gas Giant,2018,12.0293 Jupiters,1.1 x Jupiter,5.75 AU,11.2 years,0
DENIS-P J082303.1-491201 b,68,28.5 Jupiters,18.558,2013,https://exoplanets.nasa.gov/exoplanet-catalog/6569/denis-p-j0823031-491201-b/,Gas Giant,2013,28.5 Jupiters,1.06 x Jupiter,0.36 AU,246.4 days,0.35
DH Tauri b,457,11 Jupiters,12.496,2004,https://exoplanets.nasa.gov/exoplanet-catalog/7016/dh-tauri-b/,Gas Giant,2004,11 Jupiters,2.7 x Jupiter,330.0 AU,10441.5 years,0
DMPP-1 b,202,24.27 Earths,7.981,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7548/dmpp-1-b/,Neptune-like,2019,24.27 Earths,0.472 x Jupiter,0.1462 AU,18.6 days,< 0.083
DMPP-1 c,202,9.6 Earths,7.981,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7549/dmpp-1-c/,Neptune-like,2019,9.6 Earths,0.273 x Jupiter,0.0733 AU,6.6 days,< 0.057
DMPP-1 d,202,3.35 Earths,7.981,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7551/dmpp-1-d/,Super Earth,2019,3.35 Earths,1.65 x Earth,0.0422 AU,2.9 days,< 0.07
DMPP-1 e,202,4.13 Earths,7.981,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7552/dmpp-1-e/,Super Earth,2019,4.13 Earths,1.86 x Earth,0.0651 AU,5.5 days,< 0.07
DMPP-2 b,437,0.437 Jupiters,8.567,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7553/dmpp-2-b/,Gas Giant,2019,0.437 Jupiters,1.28 x Jupiter,0.0664 AU,5.2 days,0.08
DMPP-3 A b,160,2.58 Earths,9.066,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7577/dmpp-3-a-b/,Super Earth,2019,2.58 Earths,1.41 x Earth,0.0662 AU,6.7 days,0.14
DP Leonis b,995,6.28 Jupiters,18.633,2009,https://exoplanets.nasa.gov/exoplanet-catalog/7017/dp-leonis-b/,Gas Giant,2009,6.28 Jupiters,1.14 x Jupiter,8.19 AU,28 years,0.39
DS Tucanae A b,144,1.3 Jupiters,8.469,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7427/ds-tucanae-a-b/,Neptune-like,2019,1.3 Jupiters,0.509 x Jupiter,Unknown,8.1 days,0
